Title,URL handle,Description,Vendor,Type,Tags,Published on online store,Status,SKU,Option1 name,Option1 value,Price,Compare-at price,Charge tax,Inventory tracker,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service
PRUEBA — Gasas,commed-prueba-gasas,"<p>PRODUCTO FICTICIO DE PRUEBA. No disponible para venta real.</p><p>Nombre, presentaciones, precio y peso son datos simulados para probar Shopify. No representan especificaciones, existencias ni ofertas comerciales de COMMED. No usar como ficha técnica o indicación médica.</p>",COMMED DEMO,Curación,"commed-prueba,categoria-curacion,datos-ficticios",false,draft,TEST-COMMED-001-01,Presentación,Paquete 10,45,,false,shopify,deny,50,g,true,manual
,commed-prueba-gasas,,,,,false,draft,TEST-COMMED-001-02,Presentación,Paquete 50,180,,false,shopify,deny,250,g,true,manual
PRUEBA — Vendas,commed-prueba-vendas,"<p>PRODUCTO FICTICIO DE PRUEBA. No disponible para venta real.</p><p>Nombre, presentaciones, precio y peso son datos simulados para probar Shopify. No representan especificaciones, existencias ni ofertas comerciales de COMMED. No usar como ficha técnica o indicación médica.</p>",COMMED DEMO,Curación,"commed-prueba,categoria-curacion,datos-ficticios",false,draft,TEST-COMMED-002-01,Ancho,5 cm,25,,false,shopify,deny,50,g,true,manual
,commed-prueba-vendas,,,,,false,draft,TEST-COMMED-002-02,Ancho,10 cm,39,,false,shopify,deny,90,g,true,manual
PRUEBA — Cinta médica,commed-prueba-cinta-medica,"<p>PRODUCTO FICTICIO DE PRUEBA. No disponible para venta real.</p><p>Nombre, presentaciones, precio y peso son datos simulados para probar Shopify. No representan especificaciones, existencias ni ofertas comerciales de COMMED. No usar como ficha técnica o indicación médica.</p>",COMMED DEMO,Curación,"commed-prueba,categoria-curacion,datos-ficticios",false,draft,TEST-COMMED-003-01,Title,Default Title,55,70,false,shopify,deny,80,g,true,manual
PRUEBA — Antiséptico,commed-prueba-antiseptico,"<p>PRODUCTO FICTICIO DE PRUEBA. No disponible para venta real.</p><p>Nombre, presentaciones, precio y peso son datos simulados para probar Shopify. No representan especificaciones, existencias ni ofertas comerciales de COMMED. No usar como ficha técnica o indicación médica.</p>",COMMED DEMO,Curación,"commed-prueba,categoria-curacion,datos-ficticios",false,draft,TEST-COMMED-004-01,Title,Default Title,85,,false,shopify,deny,300,g,true,manual
PRUEBA — Guantes para procedimiento,commed-prueba-guantes,"<p>PRODUCTO FICTICIO DE PRUEBA. No disponible para venta real.</p><p>Nombre, presentaciones, precio y peso son datos simulados para probar Shopify. No representan especificaciones, existencias ni ofertas comerciales de COMMED. No usar como ficha técnica o indicación médica.</p>",COMMED DEMO,Quirúrgico,"commed-prueba,categoria-quirurgico,datos-ficticios",false,draft,TEST-COMMED-005-01,Talla,CH,120,,false,shopify,deny,100,g,true,manual
,commed-prueba-guantes,,,,,false,draft,TEST-COMMED-005-02,Talla,M,120,,false,shopify,deny,100,g,true,manual
,commed-prueba-guantes,,,,,false,draft,TEST-COMMED-005-03,Talla,G,120,,false,shopify,deny,100,g,true,manual
PRUEBA — Suturas,commed-prueba-suturas,"<p>PRODUCTO FICTICIO DE PRUEBA. No disponible para venta real.</p><p>Nombre, presentaciones, precio y peso son datos simulados para probar Shopify. No representan especificaciones, existencias ni ofertas comerciales de COMMED. No usar como ficha técnica o indicación médica.</p>",COMMED DEMO,Quirúrgico,"commed-prueba,categoria-quirurgico,datos-ficticios",false,draft,TEST-COMMED-006-01,Presentación,Unidad,65,,false,shopify,deny,20,g,true,manual
